범죄분류,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
절도,13280,12504,14733,14781,15988,15744,16140,16327,16091,15122,13568,13180
장물,111,93,107,86,97,67,82,54,73,44,80,71
사기,25318,19159,24509,23147,23584,23001,24990,24463,22073,21769,23829,22724
횡령,4819,3972,4586,4661,5087,4978,5209,4948,5167,4941,4400,4404
배임,656,403,471,414,451,453,632,434,486,531,398,459
손괴,4145,4078,4687,4775,5089,5214,5149,5191,5108,4782,4262,4508
살인,75,67,68,72,67,60,84,82,71,62,57,84
강도,76,81,77,84,74,74,60,62,67,63,55,68
방화,143,135,148,135,127,110,98,102,130,107,118,125
성폭력,2150,2029,2765,2832,3051,3192,3309,3155,2970,2501,2070,2080
폭행,12186,12087,13841,13973,14117,14362,14339,14824,15256,13286,12386,13843
상해,3384,3142,3614,3775,3810,3919,3835,3936,3837,3451,3325,3638
협박,1223,1218,1429,1406,1573,1585,1721,1653,1677,1508,1437,1347
공갈,377,346,436,411,456,425,456,441,361,412,348,354
약취와유인,9,12,11,23,15,20,28,19,21,19,9,13
체포와감금,113,110,119,139,124,104,146,132,121,127,131,128
폭력행위등(손괴·강요·주거침입등),70,52,57,75,58,77,80,57,77,63,47,56
폭력행위등(단체등의구성·활동),21,9,16,31,8,12,6,5,6,8,23,19
통화,127,84,101,103,85,70,80,69,87,103,160,134
유가증권/인지/우표,16,22,23,21,21,12,56,16,7,15,26,11
문서,1459,1074,1214,1087,1241,1369,1198,1397,1551,1069,1070,1148
인장,48,33,81,91,102,134,62,59,54,34,485,26
직무유기,198,101,159,105,147,117,131,115,119,92,135,139
직권남용,218,134,168,134,168,123,152,111,171,139,163,154
수뢰,110,70,85,42,95,51,35,45,54,61,52,57
증뢰,31,18,22,23,36,23,15,20,23,23,19,19
도박과 복표,775,522,550,492,517,559,431,553,441,414,361,459
신앙,38,18,29,41,34,21,27,23,55,42,24,22
기타음란행위,115,114,194,224,240,304,323,321,297,195,175,147
과실치사상,194,167,224,245,307,260,278,245,235,255,194,202
업무상과실치사상,295,193,313,317,315,321,354,316,309,308,297,283
실화,216,327,266,259,173,183,154,156,129,147,156,243
명예,2134,1729,2392,2477,2606,2666,2526,2453,2354,2370,2997,2123
권리행사방해,1216,1034,1145,1122,1295,1153,1165,1056,1131,1037,1114,1014
신용업무경매,1904,1706,1985,2007,1997,2022,2029,2056,1933,1891,1925,2174
주거침입,980,849,1082,1109,1232,1253,1293,1306,1288,1191,1124,994
비밀침해,16,3,8,9,13,10,9,13,9,5,12,5
유기,27,19,48,29,32,41,31,23,24,23,14,21
교통방해,81,71,94,116,170,120,156,136,160,117,124,84
공무방해,840,704,971,901,961,966,1016,1044,1134,910,881,1041
도주와범인은닉,51,23,34,50,32,36,46,31,39,31,28,29
위증과증거인멸,297,138,258,283,337,316,297,273,298,252,341,245
무고,623,417,517,543,545,500,515,516,489,454,482,448
