범죄분류,생활비마련,유흥비마련,도박비마련,허영사치심,치부,이욕_기타,사행심,신고_고소,수사협조,증언,보복_기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
절도,8190,1052,177,75,39,15607,1803,3,0,0,3,26,1475,1172,31745,197,3353,18281,19266
장물,77,13,0,0,2,314,32,0,0,0,0,0,7,22,161,0,280,232,329
사기,22689,1759,1535,143,246,29149,4276,4,0,0,1,15,156,568,6403,141,7516,56300,129927
횡령,1444,106,86,12,19,4028,549,1,0,0,1,8,242,189,5104,10,1087,7328,17841
배임,119,7,3,0,1,699,47,0,0,0,2,0,0,8,48,2,169,1422,7747
손괴,16,9,1,0,0,239,29,6,0,0,11,2361,65,11,19309,592,946,7449,8041
살인,1,0,0,0,3,5,1,5,0,0,10,67,0,0,316,50,5,228,359
강도,207,118,9,1,5,275,28,0,0,0,1,3,12,5,199,5,10,245,372
방화,3,0,1,0,0,17,2,3,0,0,5,64,25,0,545,85,25,291,228
성폭력,62,4,1,1,11,907,93,0,0,0,5,92,2670,963,10768,60,838,8931,8145
폭행,21,33,1,3,12,195,47,23,2,0,27,13012,47,20,76464,1102,1145,24356,100881
상해,36,3,1,0,6,127,21,15,1,1,15,2930,26,8,36603,558,531,11380,7425
협박,21,4,1,1,3,96,9,38,0,1,59,2163,31,7,8626,258,495,3630,8118
공갈,349,164,22,3,4,732,148,0,0,0,2,7,21,24,547,15,48,994,2286
약취와유인,6,0,0,0,0,24,2,0,0,0,0,21,4,9,45,4,4,89,160
체포와감금,8,11,0,0,1,91,11,1,0,0,1,94,5,3,617,17,16,557,1113
"폭력행위등(손괴,강요,주거침입등)",12,9,0,0,24,95,5,0,0,0,0,32,63,4,771,55,94,733,1351
"폭력행위등(단체등의구성,활동)",4,1,0,0,0,9,0,0,0,0,0,0,5,9,70,11,1,275,117
통화,13,3,0,0,0,12,2,0,0,0,0,0,3,0,1,0,4,18,162
유가증권·인지·우표,13,0,0,0,0,21,1,0,0,0,0,0,1,2,2,0,2,32,193
문서,314,12,8,1,14,1102,147,1,0,0,0,14,193,51,353,13,721,3974,11922
인장,4,0,0,1,1,26,1,0,0,0,0,0,2,0,28,1,63,146,259
직무유기,1,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,20,82,2491
직권남용,0,0,0,0,0,8,0,0,0,0,0,1,0,0,7,1,26,133,2994
수뢰,7,3,0,0,4,146,23,0,0,0,0,0,0,4,5,0,14,296,562
증뢰,5,0,0,1,24,38,3,0,0,0,0,0,0,4,3,0,9,126,202
도박과복표,496,138,227,29,5,2997,7477,0,0,0,0,2,811,194,1736,13,415,4862,1924
신앙,0,0,0,0,0,13,0,0,0,0,0,0,0,0,28,7,20,286,653
기타음란행위,0,0,0,0,0,38,7,0,0,0,0,2,133,49,962,23,87,727,326
과실치사상,1,0,0,0,0,2,0,0,0,0,1,17,1,0,352,2,994,470,1376
업무상과실치사상,1,0,0,0,0,7,0,0,0,0,0,0,2,0,186,0,2498,1072,2079
실화,0,0,0,0,0,1,0,0,0,0,0,4,8,0,130,5,1386,380,194
명예,17,1,0,2,5,158,13,3,0,0,3,78,53,0,5935,381,883,8183,21428
권리행사방해,369,8,16,3,8,547,79,0,0,0,0,17,5,11,217,12,206,2181,9749
신용업무경매,51,1,0,2,3,580,32,5,0,0,12,39,28,14,11783,669,469,7211,10648
주거침입,70,3,1,0,2,235,33,1,0,0,2,161,200,54,5062,253,625,4094,4629
비밀침해,1,0,0,0,0,4,0,0,0,0,0,0,2,0,3,0,13,23,75
유기,1,0,0,0,1,2,0,0,0,0,0,5,0,0,40,1,15,63,124
교통방해,0,0,0,0,0,27,22,0,0,0,0,0,0,1,221,30,208,564,742
공무방해,27,2,1,0,1,592,11,0,0,0,2,38,18,17,7112,339,348,3439,1563
도주와범인은닉,4,0,0,0,0,31,1,0,0,0,0,1,2,4,80,1,70,221,275
위증과증거인멸,2,0,0,0,1,35,4,0,0,1,0,1,0,1,32,2,29,434,3071
무고,4,1,0,0,1,47,2,9,0,0,7,15,2,0,109,12,50,714,6200
공안을해하는죄,51,8,0,0,0,231,7,0,0,0,0,0,1,0,4,1,10,117,138
내란의죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52
음용수에관한죄,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,6,11
일수와수리에관한죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3
기타,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,20,94
가정폭력범죄의처벌등에관한특례법,2,0,0,0,0,2,0,0,0,0,0,131,0,0,74,3,23,90,57
가축분뇨의관리및이용에관한법률,12,0,0,0,1,39,0,0,0,0,0,0,0,0,14,2,271,337,355
